problem,form,note,tactic,result,apply_ms,solve_ms,total_ms
wrap_double,inline,"non-recursive, nested 2x",(none),sat,0.0,0.7,0.7
wrap_double,inline,"non-recursive, nested 2x",ackermannize_bv,sat,0.08,0.4,0.48
wrap_double,inline,"non-recursive, nested 2x",subpaving,sat,0.06,0.42,0.48
wrap_double,inline,"non-recursive, nested 2x",horn,tactic_err,0.14,0.0,0.14
wrap_double,inline,"non-recursive, nested 2x",horn-simplify,tactic_err,0.08,0.0,0.08
wrap_double,inline,"non-recursive, nested 2x",nlsat,sat,0.11,0.02,0.13
wrap_double,inline,"non-recursive, nested 2x",qfnra-nlsat,sat,0.08,0.03,0.11
wrap_double,inline,"non-recursive, nested 2x",qe-light,sat,0.05,0.42,0.47
wrap_double,inline,"non-recursive, nested 2x",nlqsat,tactic_err,0.06,0.0,0.06
wrap_double,inline,"non-recursive, nested 2x",qe,sat,0.02,0.35,0.37
wrap_double,inline,"non-recursive, nested 2x",qsat,sat,0.44,0.02,0.46
wrap_double,inline,"non-recursive, nested 2x",qe2,sat,0.26,0.49,0.75
wrap_double,inline,"non-recursive, nested 2x",qe_rec,sat,0.02,0.34,0.36
wrap_double,inline,"non-recursive, nested 2x",psat,sat,2.08,0.39,2.47
wrap_double,inline,"non-recursive, nested 2x",sat,sat,1.6,0.37,1.97
wrap_double,inline,"non-recursive, nested 2x",sat-preprocess,sat,1.38,0.35,1.73
wrap_double,inline,"non-recursive, nested 2x",ctx-solver-simplify,sat,0.28,0.34,0.62
wrap_double,inline,"non-recursive, nested 2x",psmt,sat,5.08,0.1,5.18
wrap_double,inline,"non-recursive, nested 2x",unit-subsume-simplify,sat,0.15,0.4,0.55
wrap_double,inline,"non-recursive, nested 2x",aig,sat,0.03,0.35,0.38
wrap_double,inline,"non-recursive, nested 2x",add-bounds,unsat,0.03,0.33,0.36
wrap_double,inline,"non-recursive, nested 2x",card2bv,sat,0.03,0.33,0.36
wrap_double,inline,"non-recursive, nested 2x",degree-shift,sat,0.02,0.34,0.36
wrap_double,inline,"non-recursive, nested 2x",diff-neq,tactic_err,0.03,0.0,0.03
wrap_double,inline,"non-recursive, nested 2x",eq2bv,sat,0.02,0.34,0.36
wrap_double,inline,"non-recursive, nested 2x",factor,sat,0.04,0.33,0.37
wrap_double,inline,"non-recursive, nested 2x",fix-dl-var,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",fm,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",lia2card,sat,0.09,0.04,0.13
wrap_double,inline,"non-recursive, nested 2x",lia2pb,sat,0.02,0.41,0.43
wrap_double,inline,"non-recursive, nested 2x",nla2bv,sat,0.12,0.26,0.38
wrap_double,inline,"non-recursive, nested 2x",normalize-bounds,sat,0.06,0.42,0.48
wrap_double,inline,"non-recursive, nested 2x",pb2bv,tactic_err,0.06,0.0,0.06
wrap_double,inline,"non-recursive, nested 2x",propagate-ineqs,sat,0.06,0.37,0.43
wrap_double,inline,"non-recursive, nested 2x",purify-arith,sat,0.05,0.35,0.4
wrap_double,inline,"non-recursive, nested 2x",recover-01,sat,0.02,0.34,0.36
wrap_double,inline,"non-recursive, nested 2x",bit-blast,sat,0.02,0.35,0.37
wrap_double,inline,"non-recursive, nested 2x",bv1-blast,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",bv_bound_chk,sat,0.05,0.34,0.39
wrap_double,inline,"non-recursive, nested 2x",propagate-bv-bounds,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",propagate-bv-bounds2,sat,0.06,0.34,0.4
wrap_double,inline,"non-recursive, nested 2x",reduce-bv-size,sat,0.02,0.36,0.38
wrap_double,inline,"non-recursive, nested 2x",bv-slice,sat,0.03,0.35,0.38
wrap_double,inline,"non-recursive, nested 2x",bvarray2uf,sat,0.02,0.37,0.39
wrap_double,inline,"non-recursive, nested 2x",dt2bv,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",elim-small-bv,sat,0.02,0.34,0.36
wrap_double,inline,"non-recursive, nested 2x",max-bv-sharing,sat,0.02,0.36,0.38
wrap_double,inline,"non-recursive, nested 2x",blast-term-ite,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",cofactor-term-ite,sat,0.02,0.36,0.38
wrap_double,inline,"non-recursive, nested 2x",collect-statistics,sat,0.41,0.36,0.77
wrap_double,inline,"non-recursive, nested 2x",ctx-simplify,sat,0.02,0.35,0.37
wrap_double,inline,"non-recursive, nested 2x",demodulator,sat,0.03,0.34,0.37
wrap_double,inline,"non-recursive, nested 2x",der,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",distribute-forall,sat,0.02,0.34,0.36
wrap_double,inline,"non-recursive, nested 2x",dom-simplify,sat,0.06,0.33,0.39
wrap_double,inline,"non-recursive, nested 2x",elim-term-ite,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",elim-uncnstr2,sat,0.03,0.34,0.37
wrap_double,inline,"non-recursive, nested 2x",elim-uncnstr,sat,0.03,0.35,0.38
wrap_double,inline,"non-recursive, nested 2x",elim-predicates,sat,0.05,0.02,0.07
wrap_double,inline,"non-recursive, nested 2x",injectivity,sat,0.02,0.33,0.35
wrap_double,inline,"non-recursive, nested 2x",snf,sat,0.06,0.39,0.45
wrap_double,inline,"non-recursive, nested 2x",nnf,sat,0.06,0.33,0.39
