problem,form,note,tactic,result,apply_ms,solve_ms,total_ms,workers
sum_fwd,closed,closed-form lowering of the same,(none),sat,0.0,0.9,0.9,20
sum_fwd,closed,closed-form lowering of the same,propagate-values,sat,0.18,0.75,0.92,20
sum_fwd,closed,closed-form lowering of the same,simplify,sat,0.27,0.76,1.03,20
sum_fwd,closed,closed-form lowering of the same,smt,sat,0.37,0.05,0.42,20
sum_fwd,closed,closed-form lowering of the same,qflia,sat,0.16,0.02,0.19,20
sum_fwd,closed,closed-form lowering of the same,auflia,sat,0.2,0.22,0.41,20
sum_fwd,closed,closed-form lowering of the same,solve-eqs,sat,0.26,0.12,0.38,20
sum_fwd,closed,closed-form lowering of the same,elim-predicates,sat,0.39,0.1,0.49,20
sum_fwd,closed,closed-form lowering of the same,macro-finder,sat,0.15,0.49,0.64,20
sum_fwd,closed,closed-form lowering of the same,add-bounds,unsat,0.03,0.55,0.58,20
sum_fwd,closed,closed-form lowering of the same,nla2bv,sat,0.15,0.23,0.38,20
sum_fwd,closed,closed-form lowering of the same,elim-term-ite,sat,0.12,0.64,0.77,20
sum_fwd,recfun,"forward linear depth, 2M unfoldings",nla2bv,tactic_err,0.2,0.0,0.2,20
sum_fwd,closed,closed-form lowering of the same,ctx-solver-simplify,sat,0.61,5.71,6.32,20
sum_bwd,recfun,"backward synthesis, K=140",qsat,tactic_to,5001.97,0.0,5001.97,20
sum_fwd,recfun,"forward linear depth, 2M unfoldings",ctx-solver-simplify,tactic_to,6016.32,0.0,6016.32,20
sum_fwd,recfun,"forward linear depth, 2M unfoldings",smt,tactic_to,6125.32,0.0,6125.32,20
sum_fwd,recfun,"forward linear depth, 2M unfoldings",elim-predicates,tactic_to,6124.29,0.0,6124.29,20
sum_fwd,recfun,"forward linear depth, 2M unfoldings",qflia,tactic_to,6158.62,0.0,6158.62,20
sum_fwd,recfun,"forward linear depth, 2M unfoldings",auflia,tactic_to,7435.85,0.0,7435.85,20
sum_bwd,recfun,"backward synthesis, K=140",qe2,tactic_to,5000.76,0.0,5000.76,20
sum_bwd,recfun,"backward synthesis, K=140",subpaving,sat,0.19,11680.46,11680.65,20
sum_bwd,recfun,"backward synthesis, K=140",ctx-solver-simplify,tactic_to,5000.41,0.0,5000.41,20
sum_bwd,recfun,"backward synthesis, K=140",qe,sat,0.06,13463.28,13463.34,20
sum_bwd,recfun,"backward synthesis, K=140",add-bounds,unsat,0.02,1.07,1.09,20
sum_bwd,recfun,"backward synthesis, K=140",ackermannize_bv,sat,0.04,13647.8,13647.84,20
sum_bwd,recfun,"backward synthesis, K=140",(none),sat,0.0,13660.91,13660.91,20
sum_bwd,recfun,"backward synthesis, K=140",qe-light,sat,0.04,13683.34,13683.38,20
sum_bwd,recfun,"backward synthesis, K=140",nlsat,sat,0.25,13700.06,13700.31,20
sum_bwd,recfun,"backward synthesis, K=140",qfnra-nlsat,sat,0.64,13877.28,13877.92,20
sum_bwd,recfun,"backward synthesis, K=140",psmt,tactic_to,5004.71,0.0,5004.71,20
sum_bwd,recfun,"backward synthesis, K=140",qe_rec,sat,0.05,14571.55,14571.6,20
