task,scale,encoding,theories,combo,combo_len,result,ok,tactic_ms,solve_ms,total_ms,rlimit
dispatch,50,arith,int,(none),0,sat,True,0.0,0.28,0.28,347
dispatch,50,arith,int,simplify,1,sat,True,0.02,0.24,0.26,351
dispatch,50,arith,int,propagate-values,1,sat,True,0.01,0.22,0.23,347
dispatch,50,arith,int,solve-eqs,1,sat,True,0.01,0.22,0.23,353
dispatch,50,arith,int,elim-term-ite,1,sat,True,0.01,0.21,0.22,353
dispatch,50,arith,int,propagate-ineqs,1,sat,True,0.04,0.25,0.29,363
dispatch,50,arith,int,ctx-simplify,1,sat,True,0.01,0.26,0.27,362
dispatch,50,arith,int,simplify[blast_select_store=True],1,sat,True,0.01,0.24,0.25,351
dispatch,50,arith,int,simplify>simplify,2,sat,True,0.01,0.23,0.24,358
dispatch,50,arith,int,simplify>propagate-values,2,sat,True,0.01,0.24,0.25,351
dispatch,50,arith,int,simplify>solve-eqs,2,sat,True,0.02,0.21,0.23,357
dispatch,50,arith,int,simplify>elim-term-ite,2,sat,True,0.01,0.21,0.22,358
dispatch,50,arith,int,simplify>propagate-ineqs,2,sat,True,0.02,0.21,0.23,339
dispatch,50,arith,int,simplify>ctx-simplify,2,sat,True,0.01,0.21,0.22,367
dispatch,50,arith,int,simplify>simplify[blast_select_store=True],2,sat,True,0.01,0.2,0.21,358
dispatch,50,arith,int,propagate-values>simplify,2,sat,True,0.01,0.2,0.21,351
dispatch,50,arith,int,propagate-values>propagate-values,2,sat,True,0.01,0.2,0.21,347
dispatch,50,arith,int,propagate-values>solve-eqs,2,sat,True,0.01,0.2,0.21,353
dispatch,50,arith,int,propagate-values>elim-term-ite,2,sat,True,0.02,0.26,0.28,353
dispatch,50,arith,int,propagate-values>propagate-ineqs,2,sat,True,0.03,0.22,0.25,363
dispatch,50,arith,int,propagate-values>ctx-simplify,2,sat,True,0.01,0.22,0.23,362
dispatch,50,arith,int,propagate-values>simplify[blast_select_store=True],2,sat,True,0.01,0.21,0.22,351
dispatch,50,arith,int,solve-eqs>simplify,2,sat,True,0.02,0.21,0.23,357
dispatch,50,arith,int,solve-eqs>propagate-values,2,sat,True,0.01,0.21,0.22,353
dispatch,50,arith,int,solve-eqs>solve-eqs,2,sat,True,0.01,0.2,0.21,359
dispatch,50,arith,int,solve-eqs>elim-term-ite,2,sat,True,0.01,0.2,0.21,359
dispatch,50,arith,int,solve-eqs>propagate-ineqs,2,sat,True,0.02,0.2,0.22,369
dispatch,50,arith,int,solve-eqs>ctx-simplify,2,sat,True,0.01,0.2,0.21,368
dispatch,50,arith,int,solve-eqs>simplify[blast_select_store=True],2,sat,True,0.02,0.2,0.22,357
dispatch,50,arith,int,elim-term-ite>simplify,2,sat,True,0.01,0.2,0.21,357
dispatch,50,arith,int,elim-term-ite>propagate-values,2,sat,True,0.01,0.2,0.21,353
dispatch,50,arith,int,elim-term-ite>solve-eqs,2,sat,True,0.01,0.2,0.21,359
dispatch,50,arith,int,elim-term-ite>elim-term-ite,2,sat,True,0.0,0.2,0.2,359
dispatch,50,arith,int,elim-term-ite>propagate-ineqs,2,sat,True,0.02,0.21,0.23,369
dispatch,50,arith,int,elim-term-ite>ctx-simplify,2,sat,True,0.01,0.2,0.21,368
dispatch,50,arith,int,elim-term-ite>simplify[blast_select_store=True],2,sat,True,0.01,0.21,0.22,357
dispatch,50,arith,int,propagate-ineqs>simplify,2,sat,True,0.02,0.26,0.28,367
dispatch,50,arith,int,propagate-ineqs>propagate-values,2,sat,True,0.02,0.23,0.25,363
dispatch,50,arith,int,propagate-ineqs>solve-eqs,2,sat,True,0.02,0.23,0.25,369
dispatch,50,arith,int,propagate-ineqs>elim-term-ite,2,sat,True,0.01,0.21,0.22,369
dispatch,50,arith,int,propagate-ineqs>propagate-ineqs,2,sat,True,0.02,0.2,0.22,380
dispatch,50,arith,int,propagate-ineqs>ctx-simplify,2,sat,True,0.02,0.21,0.23,378
dispatch,50,arith,int,propagate-ineqs>simplify[blast_select_store=True],2,sat,True,0.02,0.21,0.23,367
dispatch,50,arith,int,ctx-simplify>simplify,2,sat,True,0.01,0.2,0.21,366
